URL,Content Size,No of Outgoing Link,Content Type
https://nypost.com/2018/09/06/alleged-bike-path-terrorists-lawyers-use-trumps-tweets-in-defense/amp/,78648.0,72,text/html
https://nypost.com/2018/09/06/woman-suffers-from-black-hairy-tongue-after-car-accident/,286677.0,197,text/html
https://nypost.com/tag/go-to-greg/,156115.0,177,text/html
https://nypost.com/contact/,123114.0,157,text/html
https://nypost.com/horoscope/taurus-09-06-2018/,152438.0,174,text/html
https://nypost.com/video/13-year-old-girl-wakes-to-find-naked-intruder-in-her-bedroom/,206056.0,148,text/html
https://nypost.com/2018/09/05/bookies-place-odds-on-anonymous-white-house-official/,288253.0,190,text/html
https://nypost.com/author/kaja-whitehouse/,165527.0,177,text/html
https://nypost.com/2018/09/06/gardener-says-worlds-raunchiest-radish-is-too-small-for-his-wife/,297560.0,196,text/html
https://nypost.com/tag/justice-department/,157496.0,177,text/html
https://nypost.com/2018/09/06/pence-denies-writing-anonymous-new-york-times-op-ed-slamming-trump/,288708.0,196,text/html
https://nypost.com/sitemap/,152556.0,390,text/html
https://nypost.com/2018/08/23/tesla-insiders-say-its-a-s-tshow-under-beleaguered-elon-musk/,295934.0,211,text/html
https://nypost.com/2018/09/05/kendall-jenner-cindy-crawford-get-naked-for-new-book/,275217.0,193,text/html
https://nypost.com/2018/06/07/police-union-honors-first-responders-to-nyc-terror-attack/,289611.0,200,text/html
https://nypost.com/tag/nfl/,154634.0,177,text/html
https://nypost.com/2018/09/06/romance-novelist-killed-chef-husband-at-culinary-school-cops/,281391.0,197,text/html
https://nypost.com/2018/09/06/how-facebook-saved-tourists-lives-in-bali/,288452.0,197,text/html
https://nypost.com/2018/09/06/that-time-keith-hernandezs-ex-got-state-senate-hopeful-arrested/,292241.0,201,text/html
https://nypost.com/2018/09/06/trump-thanks-kim-for-unwavering-support/,282520.0,193,text/html
https://nypost.com/2018/09/06/melania-refused-to-go-on-tv-with-trump-after-access-hollywood-tape-woodward/,282293.0,195,text/html
https://nypost.com/horoscope/pisces-09-06-2018/,152379.0,174,text/html
https://nypost.com/columnists/,205550.0,231,text/html
https://nypost.com/2017/10/31/8-killed-truck-pedestrians-downtown-nyc-terror-attack/,328941.0,209,text/html
https://nypost.com/2018/09/02/why-you-could-get-fired-and-your-coworker-wouldnt-for-the-same-offense/amp/,75143.0,66,text/html
https://nypost.com/2018/09/04/justin-trudeau-finally-gets-the-trade-trouble-he-deserves/,291678.0,200,text/html
https://nypost.com/2018/09/06/icelands-digital-free-peninsula-trying-to-keep-it-that-way/,285898.0,194,text/html
https://nypost.com/horoscope/gemini-09-06-2018/,152373.0,174,text/html
https://nypost.com/author/reuters/,163356.0,176,text/html
https://nypost.com/2018/09/06/trucker-pals-who-met-at-work-discover-theyre-father-and-son/,286864.0,192,text/html
https://nypost.com/tag/at-work/,156097.0,177,text/html
https://nypost.com/news/,171019.0,175,text/html
https://nypost.com/horoscope/sagittarius-09-06-2018/,152579.0,174,text/html
https://nypost.com/2018/09/06/us-jobless-claims-fall-to-49-year-low/amp/,75556.0,66,text/html
https://nypost.com/2018/09/06/this-isnt-the-chris-berman-return-espn-had-envisioned/,284474.0,190,text/html
https://nypost.com/horoscope/libra-09-06-2018/,152333.0,174,text/html
https://nypost.com/horoscope/virgo-09-06-2018/,152337.0,174,text/html
https://nypost.com/tag/careers/,156520.0,177,text/html
https://nypost.com/tech/,167759.0,175,text/html
https://nypost.com/tag/twitter/,156689.0,177,text/html
https://nypost.com/opinion/,170359.0,173,text/html
https://nypost.com/2018/09/06/ford-recalls-two-million-f-150-pickups-over-seat-belt-issue/,283648.0,195,text/html
https://nypost.com/2018/09/06/what-would-it-take-to-trade-for-mike-trout-not-enough/,286849.0,189,text/html
https://nypost.com/2018/09/06/inside-putins-secret-spy-killing-commando-unit/,293537.0,209,text/html
https://nypost.com/2018/09/06/apple-exec-reportedly-fell-asleep-during-siri-meetings/,282854.0,196,text/html
https://nypost.com/2018/09/06/good-samaritan-rescues-woman-about-to-be-raped-in-brooklyn-alley/,284576.0,189,text/html
https://nypost.com/2018/09/06/nycha-supervisor-suspended-over-alleged-orgies/,285572.0,196,text/html
https://nypost.com/2018/09/06/cynthia-nixon-talks-trump-cuomo-during-late-night-appearance/,284506.0,192,text/html
https://nypost.com/home-delivery/,122763.0,158,text/html
https://nypost.com/2018/09/06/damage-after-big-earthquake-hits-japan/slide-1/,181491.0,153,text/html
https://nypost.com/2018/09/03/evidence-tesla-may-be-struggling-to-meet-production-goals/,298904.0,198,text/html
https://nypost.com/cover/covers-for-september-3-2018/,135295.0,151,text/html
https://nypost.com/video/safari-still-letting-lions-into-cars-weeks-after-woman-was-attacked/,206270.0,148,text/html
https://nypost.com/photos/,160539.0,172,text/html
https://nypost.com/tag/nike/,156372.0,177,text/html
https://nypost.com/2018/09/06/the-nun-star-barely-made-it-through-her-own-screening/,281815.0,191,text/html
https://nypost.com/tag/colin-kaepernick/,157093.0,177,text/html
https://nypost.com/video/little-girl-with-rapid-aging-disease-is-an-internet-superstar/,205952.0,148,text/html
https://nypost.com/2018/09/06/man-arrested-after-estranged-wifes-parents-found-beaten-to-death-cops/,280317.0,191,text/html
https://nypost.com/video/,159967.0,172,text/html
https://nypost.com/cover/covers-for-september-6-2018/,135007.0,150,text/html
https://nypost.com/2018/09/06/the-shocking-new-discovery-about-womens-orgasms/,290886.0,195,text/html
https://nypost.com/search/,117303.0,153,text/html
https://nypost.com/2018/09/06/leak-shows-apples-upcoming-6-1-inch-iphone/,281682.0,203,text/html
https://nypost.com/2018/09/06/mexican-investigators-unearth-166-skulls-in-mass-graves/,296789.0,193,text/html
https://nypost.com/2018/09/06/cop-who-tased-girl-this-is-why-theres-no-grocery-stores-in-the-black-community/,291424.0,191,text/html
https://nypost.com/2018/09/06/tigers-broadcasters-turn-on-each-other-in-physical-altercation/,282271.0,184,text/html
https://nypost.com/2018/09/06/public-relations-exec-drops-17m-on-park-ave-condo/,277274.0,194,text/html
https://nypost.com/2018/09/06/a-trade-a-belief-a-shock-how-2-nba-icons-transformed-a-laughingstock/,298347.0,194,text/html
https://nypost.com/2018/09/06/family-of-backpacker-who-mysteriously-died-in-hostel-still-has-no-answers/,288135.0,198,text/html
https://nypost.com/mobile-apps/,129394.0,162,text/html
https://nypost.com/2018/09/05/democrats-mental-breakdown-over-kavanaugh/,291800.0,202,text/html
https://nypost.com/tag/donald-trump/,156735.0,177,text/html
https://nypost.com/customer-service/,123315.0,163,text/html
https://nypost.com/cover/covers-for-september-4-2018/,135340.0,151,text/html
https://nypost.com/horoscope/aquarius-09-06-2018/,152446.0,174,text/html
https://nypost.com/tag/economy/,156212.0,177,text/html
https://nypost.com/privacy/,138036.0,161,text/html
https://nypost.com/tag/sayfullo-saipov/,157635.0,177,text/html
https://nypost.com/2018/09/06/giants-will-find-out-about-nasty-rookie-guard-immediately/,290200.0,188,text/html
https://nypost.com/2018/09/06/dismembered-woman-found-in-landfill-idd-by-dental-records/,281132.0,193,text/html
https://nypost.com/2018/09/06/tiki-barber-plots-ambitious-next-broadcasting-phase/,288633.0,187,text/html
https://nypost.com/2018/08/24/graduates-spent-7-5-billion-on-education-that-failed-to-deliver/,289305.0,198,text/html
https://nypost.com/2018/09/05/runway-models-are-furious-with-kendall-jenner/,289340.0,198,text/html
https://nypost.com/2018/09/06/these-are-the-most-powerful-yankees-rookies-ever/,279511.0,180,text/html
https://nypost.com/2018/09/06/whole-foods-workers-are-looking-to-unionize/,284359.0,196,text/html
https://nypost.com/2018/09/06/no-cory-booker-you-are-not-spartacus/,293068.0,200,text/html
https://nypost.com/author/greg-giangrande/,164784.0,177,text/html
https://nypost.com/2018/09/05/new-evidence-on-russias-uk-attack-requires-new-action/,286426.0,197,text/html
https://nypost.com/2018/09/03/working-on-a-superyacht-is-like-being-in-a-glamorized-pressure-cooker/,303225.0,202,text/html
https://nypost.com/horoscope/capricorn-09-06-2018/,152494.0,174,text/html
https://nypost.com/2018/09/06/clint-fraziers-season-is-over/,280590.0,187,text/html
https://nypost.com/2018/09/05/renters-should-avoid-these-areas-with-failing-grades/,276404.0,192,text/html
https://nypost.com/tag/gary-sanchez/,155506.0,177,text/html
https://nypost.com/covers/,134101.0,144,text/html
https://nypost.com/horoscope/leo-09-06-2018/,152251.0,174,text/html
https://nypost.com/2018/09/06/drug-cartels-are-murdering-their-way-into-mexicos-gas-industry/,334347.0,206,text/html
https://nypost.com/tag/unemployment/,156114.0,177,text/html
https://nypost.com/rssfeeds/,126127.0,186,text/html
https://nypost.com/2018/09/06/aaron-judge-passes-another-test-in-rehab-process/,284546.0,190,text/html
https://nypost.com/2018/09/06/apocalypse-fearing-billionaires-are-shipping-bunkers-to-new-zealand/,293985.0,201,text/html
https://nypost.com/,331850.0,252,text/html
https://nypost.com/horoscopes/,164653.0,205,text/html
https://nypost.com/2018/09/06/us-jobless-claims-fall-to-49-year-low/,281818.0,194,text/html
https://nypost.com/2018/09/06/alleged-bike-path-terrorists-lawyers-use-trumps-tweets-in-defense/,283867.0,196,text/html
https://nypost.com/2018/09/06/joe-girardi-diagnoses-yankees-growing-gary-sanchez-problem/,283851.0,189,text/html
https://nypost.com/2018/09/02/why-you-could-get-fired-and-your-coworker-wouldnt-for-the-same-offense/,288234.0,194,text/html
https://nypost.com/terms/,167404.0,153,text/html
https://nypost.com/horoscope/cancer-09-06-2018/,152383.0,174,text/html
https://nypost.com/2018/09/04/nike-shares-drop-amid-backlash-over-new-kaepernick-ad/,288864.0,197,text/html
https://nypost.com/2018/09/06/steve-jobs-exposed-as-an-abusive-creep-by-his-daughter/,298902.0,201,text/html
https://nypost.com/horoscope/scorpio-09-06-2018/,152453.0,174,text/html
https://nypost.com/2018/09/02/girl-catches-deadly-infection-trying-on-shoes-while-barefoot/,294895.0,196,text/html
https://nypost.com/2018/09/06/genes-mostly-determine-how-successful-your-kids-will-be/,287794.0,198,text/html
https://nypost.com/tag/joe-girardi/,155473.0,177,text/html
https://nypost.com/2018/09/06/students-gets-restraining-order-against-ex-teacher-who-sent-i-love-you-texts/,281259.0,192,text/html
https://nypost.com/sports/,278753.0,209,text/html
https://nypost.com/real-estate/,166989.0,178,text/html
https://nypost.com/living/,168392.0,177,text/html
https://nypost.com/tag/jobs/,155921.0,177,text/html
https://nypost.com/2018/09/06/tiger-woods-off-to-insane-start-with-season-on-the-line/,282430.0,180,text/html
https://nypost.com/2018/09/06/heres-the-road-to-this-years-bridgewater-geno-smith-super-bowl/,304474.0,202,text/html
https://nypost.com/2018/06/05/fdny-will-honor-responders-to-bike-path-terror-attack/,290133.0,204,text/html
https://nypost.com/2018/09/06/knotel-signs-string-of-leases-for-new-co-working-spaces/,276430.0,194,text/html
https://nypost.com/2018/09/06/the-anonymous-official-op-ed-is-less-than-it-seems/,298498.0,204,text/html
https://nypost.com/2018/09/06/citigroup-merges-key-businesses-under-ceos-heir-apparent/,282284.0,194,text/html
https://nypost.com/2018/09/06/one-dag-hammarskjold-plaza-to-be-sold-for-600-million/,281756.0,191,text/html
https://nypost.com/2018/09/06/mona-lisa-probably-had-an-underactive-thyroid/,289834.0,199,text/html
https://nypost.com/2018/09/06/sanders-urges-trump-fans-to-pressure-new-york-times-over-op-ed/,282033.0,196,text/html
https://nypost.com/tips/,122028.0,155,text/html
https://nypost.com/2018/09/06/booker-releases-kavanaugh-emails-on-racial-profiling/,288124.0,193,text/html
https://nypost.com/cover/sept-5-cover/,134753.0,151,text/html
https://nypost.com/horoscope/aries-09-06-2018/,152404.0,174,text/html
https://nypost.com/2018/09/06/cbs-offers-moonves-100m-in-settlement-talks/,283908.0,198,text/html
https://nypost.com/2018/06/22/alleged-bike-path-terrorist-tells-court-only-allah-can-judge-him/,283117.0,193,text/html
https://nypost.com/business/,167324.0,173,text/html
https://nypost.com/2018/09/06/planets-deadliest-spider-among-insects-stolen-from-museum/,279989.0,193,text/html
https://nypost.com/tag/terrorism/,157066.0,177,text/html
https://nypost.com/2018/09/06/joe-girardi-diagnoses-yankees-growing-gary-sanchez-problem/amp/,76336.0,69,text/html
https://nypost.com/fashion/,170377.0,180,text/html
https://nypost.com/2018/09/05/how-gop-tax-cuts-may-hurt-the-us-down-the-line/,280797.0,192,text/html
https://nypost.com/2018/09/06/severino-and-sanchez-awful-as-yankees-wild-card-lead-shrinks/,288345.0,188,text/html
https://nypost.com/2018/09/06/twitter-permanently-bans-alex-jones/,278994.0,192,text/html
https://nypost.com/tag/career-advice/,156261.0,177,text/html
https://nypost.com/entertainment/,174980.0,181,text/html
https://nypost.com/author/greg-joyce/,163480.0,177,text/html
https://nypost.com/2018/09/06/the-little-stranger-is-more-stiff-than-scary/,281856.0,188,text/html
https://nypost.com/2018/06/20/alleged-bike-path-terrorist-faces-additional-murder-charges/,284596.0,198,text/html
https://nypost.com/tag/terror-on-the-streets-of-new-york/,157816.0,177,text/html
https://nypost.com/2018/09/06/didi-gregorius-looks-good-to-go-vs-mariners/,283330.0,186,text/html
https://nypost.com/2018/09/06/elon-musk-accused-of-trying-to-burn-short-sellers/,283784.0,198,text/html
https://nypost.com/metro/,173507.0,176,text/html
https://nypost.com/2018/09/02/how-to-survive-work-once-your-vacation-ends/,292513.0,196,text/html
https://nypost.com/2018/09/06/opportunity-rovers-14-years-on-mars-may-come-to-a-quiet-tragic-end/,281494.0,198,text/html
https://nypost.com/2018/08/09/bus-matron-hurt-in-nyc-terror-attack-sues-over-injuries/,284691.0,197,text/html
https://nypost.com/media/,173540.0,179,text/html
https://nypost.com/horoscopes/page/2/,164396.0,206,text/html
https://nypost.com/tag/new-york-yankees/,155890.0,177,text/html
https://nypost.com/2018/09/06/scientists-invent-way-to-create-unlimited-renewable-energy/,281992.0,197,text/html
https://nypost.com/2018/09/01/social-media-companies-beware-washington-is-watching-you/,287316.0,207,text/html
https://nypost.com/2017/08/13/gary-sanchez-is-creeping-out-of-joe-girardis-doghouse/,290483.0,193,text/html
